Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Campioni, Lorenzo; Poltronieri, Filippo; Stefanelli, Cesare; Suri, Niranjan; Tortonesi, Mauro; Wrona, Konrad; ",Enabling civil–military collaboration for disaster relief operations in smart city environments,Future Generation Computer Systems,139,,181-195,2023,North-Holland
"Barz, Christoph; Cramer, Eelco; Fronteddu, Roberto; Hauge, Mariann; Marcus, Kelvin; Nilsson, Jan; Poltronieri, Filippo; Tortonesi, Mauro; Suri, Niranjan; Zaccarini, Mattia; ",Enabling adaptive communications at the tactical edge,MILCOM 2022-2022 IEEE Military Communications Conference (MILCOM),,,1038-1044,2022,IEEE
"Fogli, Mattia; Giannelli, Carlo; Poltronieri, Filippo; Stefanelli, Cesare; Tortonesi, Mauro; ",Chaos engineering for resilience assessment of digital twins,IEEE Transactions on Industrial Informatics,20,2,1134-1143,2023,IEEE
"Galliera, Raffaele; Zaccarini, Mattia; Morelli, Alessandro; Fronteddu, Roberto; Poltronieri, Filippo; Suri, Niranjan; Tortonesi, Mauro; ",Learning to sail dynamic networks: The marlin reinforcement learning framework for congestion control in tactical environments,MILCOM 2023-2023 IEEE Military Communications Conference (MILCOM),,,424-429,2023,IEEE
"Borsatti, Davide; Cerroni, Walter; Foschini, Luca; Grabarnik, Genady Ya; Poltronieri, Filippo; Scotece, Domenico; Shwartz, Larisa; Stefanelli, Cesare; Tortonesi, Mauro; Zaccarini, Mattia; ",Modeling digital twins of kubernetes-based applications,2023 IEEE Symposium on Computers and Communications (ISCC),,,219-224,2023,IEEE
"Dahdal, Simon; Poltronieri, Filippo; Tortonesi, Mauro; Stefanelli, Cesare; Suri, Niranjan; ",A data mesh approach for enabling data-centric applications at the tactical edge,2023 International Conference on Military Communications and Information Systems (ICMCIS),,,1-9,2023,IEEE
"Poltronieri, Filippo; Stefanelli, Cesare; Tortonesi, Mauro; Zaccarini, Mattia; ",Reinforcement learning vs. computational intelligence: Comparing service management approaches for the cloud continuum,Future Internet,15,11,359,2023,MDPI
"Manca, Lorenzo; Borsatti, Davide; Poltronieri, Filippo; Zaccarini, Mattia; Scotece, Domenico; Davoli, Gianluca; Foschini, Luca; Grabarnik, Genady Ya; Shwartz, Larisa; Stefanelli, Cesare; ",Characterization of microservice response time in kubernetes: A mixture density network approach,2023 19th International Conference on Network and Service Management (CNSM),,,1-9,2023,IEEE
"Dahdal, Simon; Poltronieri, Filippo; Gilli, Alessandro; Tortonesi, Mauro; Fronteddu, Roberto; Galliera, Raffaele; Suri, Niranjan; ",Roamml: Distributed machine learning at the tactical edge,MILCOM 2023-2023 IEEE Military Communications Conference (MILCOM),,,33-38,2023,IEEE
"Zaccarini, Mattia; Cantelli, Benedetta; Fazio, Maria; Fornaciari, William; Poltronieri, Filippo; Stefanelli, Cesare; Tortonesi, Mauro; ",VOICE: Value-of-information for compute continuum ecosystems,"2024 27th Conference on Innovation in Clouds, Internet and Networks (ICIN)",,,73-80,2024,IEEE
